contract_id,target_local_start_timestamp,target_local_end_timestamp,tariff_name,charge_type,price
10_01_147_CHR49,2022-12-01T00:00:00.000Z,2023-02-12T00:00:00.000Z,Eco Electric,buy,0.2041
10_01_147_CHR49,2023-02-12T00:00:00.000Z,2024-05-01T00:00:00.000Z,Business Electric,buy,0.4312
10_01_147_CHR49,2024-05-01T00:00:00.000Z,2024-08-10T00:00:00.000Z,Electric Pro,buy,0.2472
10_01_147_CHR49,2024-08-10T00:00:00.000Z,2024-09-18T00:00:00.000Z,Business Electric,buy,0.254
10_01_147_CHR49,2024-09-18T00:00:00.000Z,2024-10-18T00:00:00.000Z,Electric Pro,buy,0.1551
10_01_147_CHR49,2024-10-18T00:00:00.000Z,2024-11-19T00:00:00.000Z,Electric Loyalty,buy,0.3942
10_01_147_CHR49,2024-11-19T00:00:00.000Z,2024-12-09T00:00:00.000Z,Business Electric,buy,0.1661
10_01_147_CHR49,2024-12-09T00:00:00.000Z,2025-01-01T00:00:00.000Z,Electric Constant,buy,0.1727
10_01_147_CHR49,2022-12-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,EctoGrid,sell,0.115
04_02_111_CHR60,2022-12-01T00:00:00.000Z,2023-03-03T00:00:00.000Z,Electric Loyalty,buy,0.407
04_02_111_CHR60,2023-03-03T00:00:00.000Z,2024-07-29T00:00:00.000Z,Eco Electric,buy,0.3241
04_02_111_CHR60,2024-07-29T00:00:00.000Z,2024-11-18T00:00:00.000Z,Electric Loyalty,buy,0.3872
04_02_111_CHR60,2024-11-18T00:00:00.000Z,2025-01-01T00:00:00.000Z,Digital Electric,buy,0.1798
04_02_111_CHR60,2022-12-01T00:00:00.000Z,2023-02-16T00:00:00.000Z,SState,sell,0.0743
04_02_111_CHR60,2023-02-16T00:00:00.000Z,2024-06-04T00:00:00.000Z,OpCom,sell,0.0707
04_02_111_CHR60,2024-06-04T00:00:00.000Z,2024-09-19T00:00:00.000Z,EctoGrid,sell,0.0761
